GOID	TERM
4298	GO:0006419	alanyl-tRNA aminoacylation
4299	GO:0006420	arginyl-tRNA aminoacylation
4300	GO:0006421	asparaginyl-tRNA aminoacylation
4301	GO:0006422	aspartyl-tRNA aminoacylation
4302	GO:0006423	cysteinyl-tRNA aminoacylation
4304	GO:0006425	glutaminyl-tRNA aminoacylation
4306	GO:0006427	histidyl-tRNA aminoacylation
4307	GO:0006428	isoleucyl-tRNA aminoacylation
4308	GO:0006429	leucyl-tRNA aminoacylation
4309	GO:0006430	lysyl-tRNA aminoacylation
4310	GO:0006431	methionyl-tRNA aminoacylation
4311	GO:0006432	phenylalanyl-tRNA aminoacylation
4312	GO:0006433	prolyl-tRNA aminoacylation
4313	GO:0006434	seryl-tRNA aminoacylation
4314	GO:0006435	threonyl-tRNA aminoacylation
4315	GO:0006436	tryptophanyl-tRNA aminoacylation
4316	GO:0006437	tyrosyl-tRNA aminoacylation
4317	GO:0006438	valyl-tRNA aminoacylation
4318	GO:0006446	regulation of translational initiation
4320	GO:0006448	regulation of translational elongation
4321	GO:0006449	regulation of translational termination
4322	GO:0006450	regulation of translational fidelity
4325	GO:0006457	protein folding
4326	GO:0006458	'de novo' protein folding
4328	GO:0006464	cellular protein modification process
4329	GO:0006465	signal peptide processing
4330	GO:0006468	protein phosphorylation
4331	GO:0006469	negative regulation of protein kinase activity
4332	GO:0006470	protein dephosphorylation
4333	GO:0006471	protein ADP-ribosylation
4334	GO:0006473	protein acetylation
4335	GO:0006474	N-terminal protein amino acid acetylation
4336	GO:0006475	internal protein amino acid acetylation
4337	GO:0006476	protein deacetylation
4340	GO:0006479	protein methylation
4341	GO:0006480	N-terminal protein amino acid methylation
4344	GO:0006486	protein glycosylation
4345	GO:0006487	protein N-linked glycosylation
4346	GO:0006488	dolichol-linked oligosaccharide biosynthetic process
4348	GO:0006490	oligosaccharide-lipid intermediate biosynthetic process
4350	GO:0006493	protein O-linked glycosylation
4351	GO:0006497	protein lipidation
4352	GO:0006498	N-terminal protein lipidation
4353	GO:0006499	N-terminal protein myristoylation
4356	GO:0006505	GPI anchor metabolic process
4357	GO:0006506	GPI anchor biosynthetic process
4359	GO:0006508	proteolysis
4360	GO:0006509	membrane protein ectodomain proteolysis
4361	GO:0006511	ubiquitin-dependent protein catabolic process
4362	GO:0006513	protein monoubiquitination
4364	GO:0006516	glycoprotein catabolic process
4365	GO:0006517	protein deglycosylation
4366	GO:0006518	peptide metabolic process
4367	GO:0006520	cellular amino acid metabolic process
4372	GO:0006525	arginine metabolic process
4373	GO:0006526	arginine biosynthetic process
4374	GO:0006527	arginine catabolic process
4375	GO:0006528	asparagine metabolic process
4376	GO:0006529	asparagine biosynthetic process
4381	GO:0006534	cysteine metabolic process
4382	GO:0006535	cysteine biosynthetic process from serine
4383	GO:0006536	glutamate metabolic process
4388	GO:0006541	glutamine metabolic process
4389	GO:0006542	glutamine biosynthetic process
4391	GO:0006544	glycine metabolic process
4392	GO:0006545	glycine biosynthetic process
4393	GO:0006546	glycine catabolic process
4394	GO:0006547	histidine metabolic process
4395	GO:0006548	histidine catabolic process
4398	GO:0006551	leucine metabolic process
4399	GO:0006552	leucine catabolic process
4400	GO:0006553	lysine metabolic process
4401	GO:0006554	lysine catabolic process
4402	GO:0006555	methionine metabolic process
4403	GO:0006556	S-adenosylmethionine biosynthetic process
4405	GO:0006558	L-phenylalanine metabolic process
4406	GO:0006559	L-phenylalanine catabolic process
4407	GO:0006560	proline metabolic process
4408	GO:0006561	proline biosynthetic process
4409	GO:0006562	proline catabolic process
4410	GO:0006563	L-serine metabolic process
4411	GO:0006564	L-serine biosynthetic process
4413	GO:0006566	threonine metabolic process
4414	GO:0006567	threonine catabolic process
4415	GO:0006568	tryptophan metabolic process
4416	GO:0006569	tryptophan catabolic process
4417	GO:0006570	tyrosine metabolic process
4419	GO:0006572	tyrosine catabolic process
4420	GO:0006573	valine metabolic process
4421	GO:0006574	valine catabolic process
4422	GO:0006575	cellular modified amino acid metabolic process
4423	GO:0006576	cellular biogenic amine metabolic process
4424	GO:0006577	amino-acid betaine metabolic process
4425	GO:0006578	amino-acid betaine biosynthetic process
4429	GO:0006582	melanin metabolic process
4431	GO:0006584	catecholamine metabolic process
4432	GO:0006585	dopamine biosynthetic process from tyrosine
4433	GO:0006586	indolalkylamine metabolic process
4437	GO:0006590	thyroid hormone generation
4441	GO:0006595	polyamine metabolic process
4442	GO:0006596	polyamine biosynthetic process
4444	GO:0006598	polyamine catabolic process
4445	GO:0006599	phosphagen metabolic process
4446	GO:0006600	creatine metabolic process
4447	GO:0006601	creatine biosynthetic process
4449	GO:0006603	phosphocreatine metabolic process
4451	GO:0006605	protein targeting
4452	GO:0006606	protein import into nucleus
4455	GO:0006611	protein export from nucleus
4456	GO:0006612	protein targeting to membrane
4457	GO:0006613	cotranslational protein targeting to membrane
4458	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
4460	GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
4463	GO:0006620	posttranslational protein targeting to endoplasmic reticulum membrane
4464	GO:0006621	protein retention in ER lumen
4466	GO:0006623	protein targeting to vacuole
4468	GO:0006625	protein targeting to peroxisome
4469	GO:0006626	protein targeting to mitochondrion
4470	GO:0006627	protein processing involved in protein targeting to mitochondrion
4471	GO:0006629	lipid metabolic process
4472	GO:0006631	fatty acid metabolic process
4473	GO:0006633	fatty acid biosynthetic process
4475	GO:0006635	fatty acid beta-oxidation
4476	GO:0006636	unsaturated fatty acid biosynthetic process
4477	GO:0006637	acyl-CoA metabolic process
4478	GO:0006638	neutral lipid metabolic process
4479	GO:0006639	acylglycerol metabolic process
4481	GO:0006641	triglyceride metabolic process
4483	GO:0006643	membrane lipid metabolic process
4484	GO:0006644	phospholipid metabolic process
4485	GO:0006646	phosphatidylethanolamine biosynthetic process
4489	GO:0006650	glycerophospholipid metabolic process
4492	GO:0006654	phosphatidic acid biosynthetic process
4493	GO:0006655	phosphatidylglycerol biosynthetic process
4494	GO:0006656	phosphatidylcholine biosynthetic process
4496	GO:0006658	phosphatidylserine metabolic process
4497	GO:0006659	phosphatidylserine biosynthetic process
4499	GO:0006661	phosphatidylinositol biosynthetic process
4500	GO:0006662	glycerol ether metabolic process
4502	GO:0006664	glycolipid metabolic process
4503	GO:0006665	sphingolipid metabolic process
4508	GO:0006670	sphingosine metabolic process
4510	GO:0006672	ceramide metabolic process
4514	GO:0006677	glycosylceramide metabolic process
4515	GO:0006678	glucosylceramide metabolic process
4517	GO:0006680	glucosylceramide catabolic process
4518	GO:0006681	galactosylceramide metabolic process
4520	GO:0006683	galactosylceramide catabolic process
4521	GO:0006684	sphingomyelin metabolic process
4522	GO:0006685	sphingomyelin catabolic process
4524	GO:0006687	glycosphingolipid metabolic process
4526	GO:0006689	ganglioside catabolic process
4527	GO:0006690	icosanoid metabolic process
4528	GO:0006691	leukotriene metabolic process
4529	GO:0006692	prostanoid metabolic process
4530	GO:0006693	prostaglandin metabolic process
4531	GO:0006694	steroid biosynthetic process
4532	GO:0006695	cholesterol biosynthetic process
4535	GO:0006699	bile acid biosynthetic process
4539	GO:0006703	estrogen biosynthetic process
4542	GO:0006706	steroid catabolic process
4543	GO:0006707	cholesterol catabolic process
4555	GO:0006720	isoprenoid metabolic process
4556	GO:0006721	terpenoid metabolic process
4559	GO:0006725	cellular aromatic compound metabolic process
4563	GO:0006729	tetrahydrobiopterin biosynthetic process
4564	GO:0006730	one-carbon metabolic process
4568	GO:0006739	NADP metabolic process
4569	GO:0006740	NADPH regeneration
4570	GO:0006741	NADP biosynthetic process
4572	GO:0006743	ubiquinone metabolic process
4573	GO:0006744	ubiquinone biosynthetic process
4577	GO:0006749	glutathione metabolic process
4578	GO:0006750	glutathione biosynthetic process
4579	GO:0006751	glutathione catabolic process
4580	GO:0006753	nucleoside phosphate metabolic process
4581	GO:0006754	ATP biosynthetic process
4583	GO:0006757	ATP generation from ADP
4584	GO:0006760	folic acid-containing compound metabolic process
4586	GO:0006766	vitamin metabolic process
4587	GO:0006767	water-soluble vitamin metabolic process
4590	GO:0006771	riboflavin metabolic process
4591	GO:0006772	thiamine metabolic process
4592	GO:0006775	fat-soluble vitamin metabolic process
4593	GO:0006776	vitamin A metabolic process
4594	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
4595	GO:0006778	porphyrin-containing compound metabolic process
4596	GO:0006779	porphyrin-containing compound biosynthetic process
4597	GO:0006780	uroporphyrinogen III biosynthetic process
4599	GO:0006782	protoporphyrinogen IX biosynthetic process
4600	GO:0006783	heme biosynthetic process
4604	GO:0006787	porphyrin-containing compound catabolic process
4605	GO:0006788	heme oxidation
4607	GO:0006790	sulfur compound metabolic process
4610	GO:0006793	phosphorus metabolic process
4613	GO:0006796	phosphate-containing compound metabolic process
4618	GO:0006805	xenobiotic metabolic process
4619	GO:0006807	nitrogen compound metabolic process
4621	GO:0006809	nitric oxide biosynthetic process
4622	GO:0006810	transport
4623	GO:0006811	ion transport
4624	GO:0006812	cation transport
4625	GO:0006813	potassium ion transport
4626	GO:0006814	sodium ion transport
4627	GO:0006816	calcium ion transport
4628	GO:0006817	phosphate ion transport
4629	GO:0006820	anion transport
4630	GO:0006821	chloride transport
4631	GO:0006824	cobalt ion transport
4633	GO:0006826	iron ion transport
4635	GO:0006829	zinc ion transport
4638	GO:0006836	neurotransmitter transport
4640	GO:0006839	mitochondrial transport
4641	GO:0006842	tricarboxylic acid transport
4646	GO:0006848	pyruvate transport
4648	GO:0006850	mitochondrial pyruvate transmembrane transport
4649	GO:0006851	mitochondrial calcium ion transmembrane transport
4653	GO:0006857	oligopeptide transport
4654	GO:0006858	extracellular transport
4657	GO:0006862	nucleotide transport
4660	GO:0006865	amino acid transport
4663	GO:0006869	lipid transport
4664	GO:0006873	cellular ion homeostasis
4665	GO:0006874	cellular calcium ion homeostasis
4666	GO:0006875	cellular metal ion homeostasis
4669	GO:0006878	cellular copper ion homeostasis
4670	GO:0006879	cellular iron ion homeostasis
4673	GO:0006882	cellular zinc ion homeostasis
4675	GO:0006884	cell volume homeostasis
4676	GO:0006885	regulation of pH
4677	GO:0006886	intracellular protein transport
4678	GO:0006887	exocytosis
4679	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
4680	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
4681	GO:0006891	intra-Golgi vesicle-mediated transport
4682	GO:0006892	post-Golgi vesicle-mediated transport
4683	GO:0006893	Golgi to plasma membrane transport
4684	GO:0006895	Golgi to endosome transport
4686	GO:0006897	endocytosis
4687	GO:0006898	receptor-mediated endocytosis
4688	GO:0006900	vesicle budding from membrane
4689	GO:0006901	vesicle coating
4690	GO:0006903	vesicle targeting
4691	GO:0006904	vesicle docking involved in exocytosis
4692	GO:0006906	vesicle fusion
4693	GO:0006907	pinocytosis
4694	GO:0006909	phagocytosis
4697	GO:0006913	nucleocytoplasmic transport
4698	GO:0006914	autophagy
4699	GO:0006915	apoptotic process
4700	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
4701	GO:0006921	cellular component disassembly involved in execution phase of apoptosis
4704	GO:0006928	movement of cell or subcellular component
4711	GO:0006935	chemotaxis
4712	GO:0006936	muscle contraction
4713	GO:0006937	regulation of muscle contraction
4714	GO:0006939	smooth muscle contraction
4715	GO:0006940	regulation of smooth muscle contraction
4716	GO:0006941	striated muscle contraction
4717	GO:0006942	regulation of striated muscle contraction
4719	GO:0006949	syncytium formation
4720	GO:0006950	response to stress
4721	GO:0006952	defense response
4722	GO:0006953	acute-phase response
4723	GO:0006954	inflammatory response
4724	GO:0006955	immune response
4725	GO:0006956	complement activation
4726	GO:0006957	complement activation, alternative pathway
4727	GO:0006958	complement activation, classical pathway
4728	GO:0006959	humoral immune response
4735	GO:0006970	response to osmotic stress
4736	GO:0006971	hypotonic response
4739	GO:0006974	cellular response to DNA damage stimulus
4743	GO:0006979	response to oxidative stress
4746	GO:0006984	ER-nucleus signaling pathway
4747	GO:0006986	response to unfolded protein
4749	GO:0006991	response to sterol depletion
4751	GO:0006996	organelle organization
4752	GO:0006997	nucleus organization
4756	GO:0007004	telomere maintenance via telomerase
4757	GO:0007005	mitochondrion organization
4758	GO:0007006	mitochondrial membrane organization
4759	GO:0007007	inner mitochondrial membrane organization
4761	GO:0007009	plasma membrane organization
4762	GO:0007010	cytoskeleton organization
4764	GO:0007015	actin filament organization
4765	GO:0007017	microtubule-based process
4766	GO:0007018	microtubule-based movement
4768	GO:0007020	microtubule nucleation
4769	GO:0007021	tubulin complex assembly
4770	GO:0007023	post-chaperonin tubulin folding pathway
4773	GO:0007028	cytoplasm organization
4774	GO:0007029	endoplasmic reticulum organization
4775	GO:0007030	Golgi organization
4776	GO:0007031	peroxisome organization
4778	GO:0007033	vacuole organization
4779	GO:0007034	vacuolar transport
4784	GO:0007040	lysosome organization
4785	GO:0007041	lysosomal transport
4787	GO:0007043	cell-cell junction assembly
4789	GO:0007049	cell cycle
4790	GO:0007051	spindle organization
4791	GO:0007052	mitotic spindle organization
4795	GO:0007056	spindle assembly involved in female meiosis
4797	GO:0007058	spindle assembly involved in female meiosis II
4798	GO:0007059	chromosome segregation
4800	GO:0007062	sister chromatid cohesion
4802	GO:0007064	mitotic sister chromatid cohesion
4809	GO:0007076	mitotic chromosome condensation
4813	GO:0007080	mitotic metaphase plate congression
4818	GO:0007088	regulation of mitotic nuclear division
4820	GO:0007091	metaphase/anaphase transition of mitotic cell cycle
4821	GO:0007093	mitotic cell cycle checkpoint signaling
4822	GO:0007094	mitotic spindle assembly checkpoint signaling
4823	GO:0007095	mitotic G2 DNA damage checkpoint signaling
4824	GO:0007096	regulation of exit from mitosis
4825	GO:0007097	nuclear migration
4826	GO:0007098	centrosome cycle
4827	GO:0007099	centriole replication
4828	GO:0007100	mitotic centrosome separation
4843	GO:0007127	meiosis I
4845	GO:0007129	homologous chromosome pairing at meiosis
4846	GO:0007130	synaptonemal complex assembly
4847	GO:0007131	reciprocal meiotic recombination
4851	GO:0007135	meiosis II
4859	GO:0007143	female meiotic nuclear division
4862	GO:0007147	female meiosis II
4863	GO:0007154	cell communication
4864	GO:0007155	cell adhesion
4865	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
4866	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
4868	GO:0007159	leukocyte cell-cell adhesion
4869	GO:0007160	cell-matrix adhesion
4871	GO:0007162	negative regulation of cell adhesion
4872	GO:0007163	establishment or maintenance of cell polarity
4873	GO:0007164	establishment of tissue polarity
4874	GO:0007165	signal transduction
4875	GO:0007166	cell surface receptor signaling pathway
4876	GO:0007167	enzyme linked receptor protein signaling pathway
4877	GO:0007168	receptor guanylyl cyclase signaling pathway
4878	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway
4880	GO:0007172	signal complex assembly
4881	GO:0007173	epidermal growth factor receptor signaling pathway
4885	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
4886	GO:0007179	transforming growth factor beta receptor signaling pathway
4889	GO:0007183	SMAD protein complex assembly
4891	GO:0007186	G protein-coupled receptor signaling pathway
4893	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
4894	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
4898	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
4899	GO:0007194	negative regulation of adenylate cyclase activity
4900	GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway
4905	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway
4907	GO:0007204	positive regulation of cytosolic calcium ion concentration
4908	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway
4915	GO:0007212	dopamine receptor signaling pathway
4916	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway
4917	GO:0007214	gamma-aminobutyric acid signaling pathway
4920	GO:0007217	tachykinin receptor signaling pathway
4921	GO:0007218	neuropeptide signaling pathway
4922	GO:0007219	Notch signaling pathway
4925	GO:0007223	Wnt signaling pathway, calcium modulating pathway
4926	GO:0007224	smoothened signaling pathway
4930	GO:0007229	integrin-mediated signaling pathway
4934	GO:0007249	I-kappaB kinase/NF-kappaB signaling
4935	GO:0007250	activation of NF-kappaB-inducing kinase activity
4938	GO:0007254	JNK cascade
4940	GO:0007259	receptor signaling pathway via JAK-STAT
4941	GO:0007260	tyrosine phosphorylation of STAT protein
4943	GO:0007264	small GTPase mediated signal transduction
4944	GO:0007265	Ras protein signal transduction
4945	GO:0007266	Rho protein signal transduction
4946	GO:0007267	cell-cell signaling
4947	GO:0007268	chemical synaptic transmission
4948	GO:0007269	neurotransmitter secretion
4949	GO:0007270	neuron-neuron synaptic transmission
4951	GO:0007272	ensheathment of neurons
4953	GO:0007275	multicellular organism development
4954	GO:0007276	gamete generation
4959	GO:0007281	germ cell development
4961	GO:0007283	spermatogenesis
4964	GO:0007286	spermatid development
4970	GO:0007292	female gamete generation
4986	GO:0007308	oocyte construction
4987	GO:0007309	oocyte axis specification
4992	GO:0007314	oocyte anterior/posterior axis specification
4993	GO:0007315	pole plasm assembly
5002	GO:0007338	single fertilization
5003	GO:0007339	binding of sperm to zona pellucida
5004	GO:0007340	acrosome reaction
5006	GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization
5007	GO:0007343	egg activation
5009	GO:0007346	regulation of mitotic cell cycle
5013	GO:0007350	blastoderm segmentation
5014	GO:0007351	tripartite regional subdivision
5027	GO:0007368	determination of left/right symmetry
5028	GO:0007369	gastrulation
5036	GO:0007379	segment specification
5046	GO:0007389	pattern specification process
5054	GO:0007398	ectoderm development
5055	GO:0007399	nervous system development
5056	GO:0007400	neuroblast fate determination
5058	GO:0007403	glial cell fate determination
5059	GO:0007405	neuroblast proliferation
5062	GO:0007409	axonogenesis
5063	GO:0007411	axon guidance
5065	GO:0007413	axonal fasciculation
5068	GO:0007416	synapse assembly
5069	GO:0007417	central nervous system development
5070	GO:0007418	ventral midline development
5072	GO:0007420	brain development
5074	GO:0007422	peripheral nervous system development
5075	GO:0007423	sensory organ development
5092	GO:0007440	foregut morphogenesis
5135	GO:0007492	endoderm development
5141	GO:0007498	mesoderm development
5144	GO:0007501	mesodermal cell fate specification
5145	GO:0007502	digestive tract mesoderm development
5150	GO:0007507	heart development
5156	GO:0007517	muscle organ development
5158	GO:0007519	skeletal muscle tissue development
5159	GO:0007520	myoblast fusion
5160	GO:0007521	muscle cell fate determination
5164	GO:0007525	somatic muscle development
5167	GO:0007528	neuromuscular junction development
5169	GO:0007530	sex determination
5186	GO:0007548	sex differentiation
5203	GO:0007568	aging
5204	GO:0007569	cell aging
5208	GO:0007584	response to nutrient
5210	GO:0007586	digestion
5212	GO:0007589	body fluid secretion
5217	GO:0007596	blood coagulation
5218	GO:0007597	blood coagulation, intrinsic pathway
5220	GO:0007599	hemostasis
5221	GO:0007600	sensory perception
5222	GO:0007601	visual perception
5223	GO:0007602	phototransduction
5224	GO:0007603	phototransduction, visible light
5225	GO:0007604	phototransduction, UV
5226	GO:0007605	sensory perception of sound
5227	GO:0007606	sensory perception of chemical stimulus
5229	GO:0007610	behavior
5241	GO:0007622	rhythmic behavior
5242	GO:0007623	circadian rhythm
5243	GO:0007624	ultradian rhythm
5245	GO:0007626	locomotory behavior
5249	GO:0007631	feeding behavior
5250	GO:0007632	visual behavior
5252	GO:0007634	optokinetic behavior
5253	GO:0007635	chemosensory behavior
5258	GO:0008009	chemokine activity
5262	GO:0008013	beta-catenin binding
5263	GO:0008015	blood circulation
5264	GO:0008016	regulation of heart contraction
5265	GO:0008017	microtubule binding
5266	GO:0008020	G protein-coupled photoreceptor activity
5267	GO:0008021	synaptic vesicle
5268	GO:0008022	protein C-terminus binding
5269	GO:0008023	transcription elongation factor complex
5271	GO:0008028	monocarboxylic acid transmembrane transporter activity
5275	GO:0008033	tRNA processing
5278	GO:0008037	cell recognition
5279	GO:0008038	neuron recognition
5282	GO:0008045	motor neuron axon guidance
5284	GO:0008047	enzyme activator activity
5285	GO:0008048	calcium sensitive guanylate cyclase activator activity
5289	GO:0008053	mitochondrial fusion
5294	GO:0008061	chitin binding
5296	GO:0008063	Toll signaling pathway
5297	GO:0008064	regulation of actin polymerization or depolymerization
5299	GO:0008066	glutamate receptor activity
5306	GO:0008076	voltage-gated potassium channel complex
5307	GO:0008078	mesodermal cell migration
5308	GO:0008079	translation termination factor activity
5309	GO:0008080	N-acetyltransferase activity
5310	GO:0008081	phosphoric diester hydrolase activity
5311	GO:0008083	growth factor activity
5315	GO:0008088	axo-dendritic transport
5317	GO:0008090	retrograde axonal transport
5318	GO:0008091	spectrin
5319	GO:0008092	cytoskeletal protein binding
5320	GO:0008093	cytoskeletal anchor activity
5321	GO:0008094	ATP-dependent activity, acting on DNA
5323	GO:0008097	5S rRNA binding
5326	GO:0008104	protein localization
5327	GO:0008106	alcohol dehydrogenase (NADP+) activity
5329	GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
5334	GO:0008113	peptide-methionine (S)-S-oxide reductase activity
5337	GO:0008116	prostaglandin-I synthase activity
5340	GO:0008119	thiopurine S-methyltransferase activity
5341	GO:0008120	ceramide glucosyltransferase activity
5342	GO:0008121	ubiquinol-cytochrome-c reductase activity
5343	GO:0008123	cholesterol 7-alpha-monooxygenase activity
5344	GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
5345	GO:0008126	acetylesterase activity
5347	GO:0008131	primary amine oxidase activity
5348	GO:0008134	transcription factor binding
5349	GO:0008135	translation factor activity, RNA binding
5350	GO:0008137	NADH dehydrogenase (ubiquinone) activity
5351	GO:0008138	protein tyrosine/serine/threonine phosphatase activity
5352	GO:0008139	nuclear localization sequence binding
5353	GO:0008140	cAMP response element binding protein binding
5354	GO:0008142	oxysterol binding
5355	GO:0008143	poly(A) binding
5357	GO:0008146	sulfotransferase activity
5359	GO:0008150	biological_process
5360	GO:0008152	metabolic process
5362	GO:0008154	actin polymerization or depolymerization
5363	GO:0008156	negative regulation of DNA replication
5364	GO:0008157	protein phosphatase 1 binding
5365	GO:0008158	hedgehog receptor activity
5367	GO:0008168	methyltransferase activity
5368	GO:0008169	C-methyltransferase activity
5369	GO:0008170	N-methyltransferase activity
5370	GO:0008171	O-methyltransferase activity
5371	GO:0008172	S-methyltransferase activity
5372	GO:0008173	RNA methyltransferase activity
5373	GO:0008174	mRNA methyltransferase activity
5374	GO:0008175	tRNA methyltransferase activity
5375	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity
5376	GO:0008177	succinate dehydrogenase (ubiquinone) activity
5378	GO:0008180	COP9 signalosome
5379	GO:0008184	glycogen phosphorylase activity
5380	GO:0008186	ATP-dependent activity, acting on RNA
5382	GO:0008188	neuropeptide receptor activity
5383	GO:0008190	eukaryotic initiation factor 4E binding
5384	GO:0008191	metalloendopeptidase inhibitor activity
5385	GO:0008192	RNA guanylyltransferase activity
5386	GO:0008193	tRNA guanylyltransferase activity
5387	GO:0008194	UDP-glycosyltransferase activity
5388	GO:0008195	phosphatidate phosphatase activity
5390	GO:0008198	ferrous iron binding
5391	GO:0008199	ferric iron binding
5393	GO:0008201	heparin binding
5394	GO:0008202	steroid metabolic process
5395	GO:0008203	cholesterol metabolic process
5398	GO:0008206	bile acid metabolic process
5402	GO:0008210	estrogen metabolic process
5405	GO:0008213	protein alkylation
5408	GO:0008216	spermidine metabolic process
5409	GO:0008217	regulation of blood pressure
5411	GO:0008219	cell death
5413	GO:0008227	G protein-coupled amine receptor activity
5418	GO:0008233	peptidase activity
5419	GO:0008234	cysteine-type peptidase activity
5420	GO:0008235	metalloexopeptidase activity
5421	GO:0008236	serine-type peptidase activity
5422	GO:0008237	metallopeptidase activity
5423	GO:0008238	exopeptidase activity
5424	GO:0008239	dipeptidyl-peptidase activity
5425	GO:0008240	tripeptidyl-peptidase activity
5426	GO:0008241	peptidyl-dipeptidase activity
5427	GO:0008242	omega peptidase activity
5429	GO:0008250	oligosaccharyltransferase complex
5431	GO:0008252	nucleotidase activity
5432	GO:0008253	5'-nucleotidase activity
5438	GO:0008260	3-oxoacid CoA-transferase activity
5441	GO:0008265	Mo-molybdopterin cofactor sulfurase activity
5444	GO:0008269	JAK pathway signal transduction adaptor activity
5445	GO:0008270	zinc ion binding
5446	GO:0008271	secondary active sulfate transmembrane transporter activity
5448	GO:0008273	calcium, potassium:sodium antiporter activity
5450	GO:0008276	protein methyltransferase activity
5451	GO:0008277	regulation of G protein-coupled receptor signaling pathway
5452	GO:0008278	cohesin complex
5455	GO:0008283	cell population proliferation
5456	GO:0008284	positive regulation of cell population proliferation
5457	GO:0008285	negative regulation of cell population proliferation
5458	GO:0008286	insulin receptor signaling pathway
5459	GO:0008287	protein serine/threonine phosphatase complex
5461	GO:0008289	lipid binding
5462	GO:0008290	F-actin capping protein complex
5467	GO:0008295	spermidine biosynthetic process
5468	GO:0008296	3'-5'-exodeoxyribonuclease activity
5471	GO:0008299	isoprenoid biosynthetic process
5472	GO:0008300	isoprenoid catabolic process
5475	GO:0008303	caspase complex
5476	GO:0008305	integrin complex
5479	GO:0008308	voltage-gated anion channel activity
5483	GO:0008312	7S RNA binding
5489	GO:0008318	protein prenyltransferase activity
5490	GO:0008320	protein transmembrane transporter activity
5491	GO:0008324	cation transmembrane transporter activity
5492	GO:0008327	methyl-CpG binding
5500	GO:0008336	gamma-butyrobetaine dioxygenase activity
5502	GO:0008343	adult feeding behavior
5504	GO:0008345	larval locomotory behavior
5508	GO:0008349	MAP kinase kinase kinase kinase activity
5510	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity
5511	GO:0008354	germ cell migration
5513	GO:0008356	asymmetric cell division
5514	GO:0008358	maternal determination of anterior/posterior axis, embryo
5516	GO:0008360	regulation of cell shape
5517	GO:0008361	regulation of cell size
5522	GO:0008366	axon ensheathment
5523	GO:0008373	sialyltransferase activity
5524	GO:0008374	O-acyltransferase activity
5525	GO:0008375	acetylglucosaminyltransferase activity
5526	GO:0008376	acetylgalactosaminyltransferase activity
5527	GO:0008377	light-induced release of internally sequestered calcium ion
5528	GO:0008378	galactosyltransferase activity
5530	GO:0008380	RNA splicing
5531	GO:0008381	mechanosensitive ion channel activity
5532	GO:0008384	IkappaB kinase activity
5541	GO:0008395	steroid hydroxylase activity
5550	GO:0008406	gonad development
5552	GO:0008408	3'-5' exonuclease activity
5553	GO:0008409	5'-3' exonuclease activity
5554	GO:0008410	CoA-transferase activity
5557	GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity
5559	GO:0008417	fucosyltransferase activity
5560	GO:0008418	protein-N-terminal asparagine amidohydrolase activity
5562	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
5565	GO:0008424	glycoprotein 6-alpha-L-fucosyltransferase activity
5566	GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
5574	GO:0008437	thyrotropin-releasing hormone activity
5577	GO:0008442	3-hydroxyisobutyrate dehydrogenase activity
5578	GO:0008443	phosphofructokinase activity
5579	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
5581	GO:0008446	GDP-mannose 4,6-dehydratase activity
5584	GO:0008449	N-acetylglucosamine-6-sulfatase activity
5585	GO:0008452	RNA ligase activity
5586	GO:0008453	alanine-glyoxylate transaminase activity
5588	GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
5593	GO:0008460	dTDP-glucose 4,6-dehydratase activity
5598	GO:0008469	histone-arginine N-methyltransferase activity
5599	GO:0008470	isovaleryl-CoA dehydrogenase activity
5601	GO:0008474	palmitoyl-(protein) hydrolase activity
